2010-07-12T00:00:00.956616,237513559.988607,-0.000000-0.418702
2010-07-12T00:00:02.023283,237513561.055273,-0.000000-0.412598
2010-07-12T00:00:03.089949,237513562.121940,-0.000000-0.411377
2010-07-12T00:00:04.156616,237513563.188607,-0.000000-0.408936
2010-07-12T00:00:05.223283,237513564.255273,-0.000000-0.417481
2010-07-12T00:00:06.289950,237513565.321940,-0.000000-0.404053
2010-07-12T00:00:07.356616,237513566.388607,-0.000000-0.406495
2010-07-12T00:00:08.423283,237513567.455273,-0.000000-0.411377
2010-07-12T00:00:09.489950,237513568.521940,-0.000000-0.408936
2010-07-12T00:00:10.556617,237513569.588607,-0.000000-0.408936
2010-07-12T00:00:11.623283,237513570.655273,-0.000000-0.405274
2010-07-12T00:00:12.689950,237513571.721940,-0.000000-0.411377
2010-07-12T00:00:13.756617,237513572.788607,-0.000000-0.411377
2010-07-12T00:00:14.823284,237513573.855273,-0.000000-0.404053
2010-07-12T00:00:15.889950,237513574.921940,-0.000000-0.406495
2010-07-12T00:00:16.956617,237513575.988607,-0.000000-0.407715
2010-07-12T00:00:18.023284,237513577.055273,-0.000000-0.407715
2010-07-12T00:00:19.089951,237513578.121940,-0.000000-0.407715
2010-07-12T00:00:20.156617,237513579.188607,-0.000000-0.396729
2010-07-12T00:00:21.223284,237513580.255273,-0.000000-0.397950
2010-07-12T00:00:22.289951,237513581.321940,-0.000000-0.426026
2010-07-12T00:00:23.356618,237513582.388607,-0.000000-0.429688
2010-07-12T00:00:24.423284,237513583.455273,-0.000000-0.406495
